[2021-01-02 17:03:09.799] [ConceptEngine] [info] Spdlog Created
[2021-01-02 17:03:09.800] [ConceptEngine] [info] Device: NVIDIA GeForce RTX 3070, Video Memory: 8433 MB
[2021-01-02 17:03:10.807] [ConceptEngine] [info] FPS: 145.3099
[2021-01-02 17:03:11.814] [ConceptEngine] [info] FPS: 144.0271
[2021-01-02 17:03:12.814] [ConceptEngine] [info] FPS: 143.9565
[2021-01-02 17:03:13.816] [ConceptEngine] [info] FPS: 143.8200
[2021-01-02 17:03:14.822] [ConceptEngine] [info] FPS: 143.1545
[2021-01-02 17:03:15.823] [ConceptEngine] [info] FPS: 143.8729
[2021-01-02 17:03:16.823] [ConceptEngine] [info] FPS: 143.9970
[2021-01-02 17:03:17.823] [ConceptEngine] [info] FPS: 143.9943
[2021-01-02 17:03:18.830] [ConceptEngine] [info] FPS: 143.9766
[2021-01-02 17:03:19.830] [ConceptEngine] [info] FPS: 143.9982
[2021-01-02 17:03:20.836] [ConceptEngine] [info] FPS: 144.0582
[2021-01-02 17:03:21.836] [ConceptEngine] [info] FPS: 143.9975
[2021-01-02 17:03:22.844] [ConceptEngine] [info] FPS: 143.9491
[2021-01-02 17:03:23.850] [ConceptEngine] [info] FPS: 144.0742
[2021-01-02 17:03:24.857] [ConceptEngine] [info] FPS: 143.9883
[2021-01-02 17:03:25.863] [ConceptEngine] [info] FPS: 144.0855
[2021-01-02 17:03:26.864] [ConceptEngine] [info] FPS: 143.9462
[2021-01-02 17:03:27.870] [ConceptEngine] [info] FPS: 144.0533
[2021-01-02 17:03:28.870] [ConceptEngine] [info] FPS: 143.9967
[2021-01-02 17:03:29.877] [ConceptEngine] [info] FPS: 141.0185
[2021-01-02 17:03:30.884] [ConceptEngine] [info] FPS: 144.0113
[2021-01-02 17:03:31.884] [ConceptEngine] [info] FPS: 143.9921
[2021-01-02 17:03:32.891] [ConceptEngine] [info] FPS: 144.0016
[2021-01-02 17:03:33.891] [ConceptEngine] [info] FPS: 143.9913
[2021-01-02 17:03:34.891] [ConceptEngine] [info] FPS: 140.9684
[2021-01-02 17:03:35.898] [ConceptEngine] [info] FPS: 144.0385
[2021-01-02 17:03:36.905] [ConceptEngine] [info] FPS: 144.0002
[2021-01-02 17:03:37.906] [ConceptEngine] [info] FPS: 143.8892
[2021-01-02 17:03:38.906] [ConceptEngine] [info] FPS: 143.9930
[2021-01-02 17:03:39.912] [ConceptEngine] [info] FPS: 144.0921
[2021-01-02 17:03:40.912] [ConceptEngine] [info] FPS: 143.9997
[2021-01-02 17:03:41.913] [ConceptEngine] [info] FPS: 143.8704
[2021-01-02 17:03:42.913] [ConceptEngine] [info] FPS: 143.9967
[2021-01-02 17:03:43.920] [ConceptEngine] [info] FPS: 144.0608
[2021-01-02 17:03:44.920] [ConceptEngine] [info] FPS: 143.9942
[2021-01-02 17:03:45.927] [ConceptEngine] [info] FPS: 143.9513
[2021-01-02 17:03:46.934] [ConceptEngine] [info] FPS: 144.0514
[2021-01-02 17:03:47.934] [ConceptEngine] [info] FPS: 143.9982
[2021-01-02 17:03:48.940] [ConceptEngine] [info] FPS: 144.0045
[2021-01-02 17:03:49.948] [ConceptEngine] [info] FPS: 142.9831
[2021-01-02 17:03:50.948] [ConceptEngine] [info] FPS: 143.9923
[2021-01-02 17:03:51.948] [ConceptEngine] [info] FPS: 143.9338
[2021-01-02 17:03:52.954] [ConceptEngine] [info] FPS: 144.0790
[2021-01-02 17:03:53.962] [ConceptEngine] [info] FPS: 143.9680
[2021-01-02 17:03:54.968] [ConceptEngine] [info] FPS: 144.0502
[2021-01-02 17:03:55.968] [ConceptEngine] [info] FPS: 143.9957
[2021-01-02 17:03:56.968] [ConceptEngine] [info] FPS: 143.9974
[2021-01-02 17:03:57.975] [ConceptEngine] [info] FPS: 144.0079
[2021-01-02 17:03:58.982] [ConceptEngine] [info] FPS: 143.0019
[2021-01-02 17:03:59.982] [ConceptEngine] [info] FPS: 143.9780
[2021-01-02 17:04:00.989] [ConceptEngine] [info] FPS: 143.9732
[2021-01-02 17:04:01.989] [ConceptEngine] [info] FPS: 143.9975
[2021-01-02 17:04:02.989] [ConceptEngine] [info] FPS: 143.9978
[2021-01-02 17:04:03.996] [ConceptEngine] [info] FPS: 143.9914
[2021-01-02 17:04:04.997] [ConceptEngine] [info] FPS: 143.9943
[2021-01-02 17:04:06.003] [ConceptEngine] [info] FPS: 144.0702
[2021-01-02 17:04:07.003] [ConceptEngine] [info] FPS: 143.9872
[2021-01-02 17:04:08.003] [ConceptEngine] [info] FPS: 143.9940
[2021-01-02 17:04:09.010] [ConceptEngine] [info] FPS: 143.9580
[2021-01-02 17:04:10.010] [ConceptEngine] [info] FPS: 143.9902
[2021-01-02 17:04:11.017] [ConceptEngine] [info] FPS: 144.0623
[2021-01-02 17:04:12.024] [ConceptEngine] [info] FPS: 143.9757
[2021-01-02 17:04:13.031] [ConceptEngine] [info] FPS: 143.9927
[2021-01-02 17:04:14.031] [ConceptEngine] [info] FPS: 143.9853
[2021-01-02 17:04:15.038] [ConceptEngine] [info] FPS: 144.0283
[2021-01-02 17:04:16.038] [ConceptEngine] [info] FPS: 143.9970
[2021-01-02 17:04:17.038] [ConceptEngine] [info] FPS: 143.9791
